Sirach	9	9	1	Sit not at all with 	j	<a href='SIR.xhtml#SR26_22'>ch. 26. 22</a>. &amp; <a href='SIR.xhtml#SR41_21'>41. 21</a>. <a href='ROM.xhtml#RM7_2'>Rom. 7. 2</a> in the Gk.
Sirach Prologue	1	1	1	A Prologue made by an uncertain Author. 	*	Some refer this Prologue to Athanasius, because it is found in his <span class='add'>Synopsis</span>.
Sirach Prologue	1	1	2	A Prologue made by an uncertain Author. This Jesus was the son of Sirach, and grandchild to Jesus of the same name with him: This man therefore lived in the latter times, after the people had been led away captive, and called home again, and almost after all the prophets. Now his grandfather Jesus, as he himself witnesseth, was a man of great diligence and wisdom among the Hebrews, who did not only gather the grave and short sentences of wise men, that had been before him, but himself also uttered some of his own, full of much understanding and wisdom. When as therefore the first Jesus died, leaving this book almost 	*	Or, <span class='add'>collected</span>.
Sirach Prologue	1	1	3	A Prologue made by an uncertain Author. This Jesus was the son of Sirach, and grandchild to Jesus of the same name with him: This man therefore lived in the latter times, after the people had been led away captive, and called home again, and almost after all the prophets. Now his grandfather Jesus, as he himself witnesseth, was a man of great diligence and wisdom among the Hebrews, who did not only gather the grave and short sentences of wise men, that had been before him, but himself also uttered some of his own, full of much understanding and wisdom. When as therefore the first Jesus died, leaving this book almost perfected, Sirach his son receiving it after him left it to his own son Jesus, who, having gotten it into his hands, compiled it all orderly into one volume, and called it Wisdom, intituling it both by his own name, his father’s name, and his grandfather’s; alluring the hearer by the very name of Wisdom to have a greater love to the study of this book. It containeth therefore wise sayings, 	a	See <a href='PRO.xhtml#PR1_6'>Prov. 1. 6</a>.
Sirach Prologue	1	1	4	A Prologue made by an uncertain Author. This Jesus was the son of Sirach, and grandchild to Jesus of the same name with him: This man therefore lived in the latter times, after the people had been led away captive, and called home again, and almost after all the prophets. Now his grandfather Jesus, as he himself witnesseth, was a man of great diligence and wisdom among the Hebrews, who did not only gather the grave and short sentences of wise men, that had been before him, but himself also uttered some of his own, full of much understanding and wisdom. When as therefore the first Jesus died, leaving this book almost perfected, Sirach his son receiving it after him left it to his own son Jesus, who, having gotten it into his hands, compiled it all orderly into one volume, and called it Wisdom, intituling it both by his own name, his father’s name, and his grandfather’s; alluring the hearer by the very name of Wisdom to have a greater love to the study of this book. It containeth therefore wise sayings, dark sentences, and parables, and 	b	<a href='SIR.xhtml#SR44_1'>ch. 44. 1</a>–<a href='SIR.xhtml#SR50_24'>50. 24</a>.
Sirach Prologue	1	1	5	A Prologue made by an uncertain Author. This Jesus was the son of Sirach, and grandchild to Jesus of the same name with him: This man therefore lived in the latter times, after the people had been led away captive, and called home again, and almost after all the prophets. Now his grandfather Jesus, as he himself witnesseth, was a man of great diligence and wisdom among the Hebrews, who did not only gather the grave and short sentences of wise men, that had been before him, but himself also uttered some of his own, full of much understanding and wisdom. When as therefore the first Jesus died, leaving this book almost perfected, Sirach his son receiving it after him left it to his own son Jesus, who, having gotten it into his hands, compiled it all orderly into one volume, and called it Wisdom, intituling it both by his own name, his father’s name, and his grandfather’s; alluring the hearer by the very name of Wisdom to have a greater love to the study of this book. It containeth therefore wise sayings, dark sentences, and parables, and certain particular ancient godly stories of men 	c	<a href='HEB.xhtml#HB11_5'>Heb. 11. 5</a>.
Sirach Prologue	1	1	6	A Prologue made by an uncertain Author. This Jesus was the son of Sirach, and grandchild to Jesus of the same name with him: This man therefore lived in the latter times, after the people had been led away captive, and called home again, and almost after all the prophets. Now his grandfather Jesus, as he himself witnesseth, was a man of great diligence and wisdom among the Hebrews, who did not only gather the grave and short sentences of wise men, that had been before him, but himself also uttered some of his own, full of much understanding and wisdom. When as therefore the first Jesus died, leaving this book almost perfected, Sirach his son receiving it after him left it to his own son Jesus, who, having gotten it into his hands, compiled it all orderly into one volume, and called it Wisdom, intituling it both by his own name, his father’s name, and his grandfather’s; alluring the hearer by the very name of Wisdom to have a greater love to the study of this book. It containeth therefore wise sayings, dark sentences, and parables, and certain particular ancient godly stories of men that pleased God; also 	d	<a href='SIR.xhtml#SR51_1'>ch. 51. 1</a>–
Sirach Prologue	1	1	7	A Prologue made by an uncertain Author. This Jesus was the son of Sirach, and grandchild to Jesus of the same name with him: This man therefore lived in the latter times, after the people had been led away captive, and called home again, and almost after all the prophets. Now his grandfather Jesus, as he himself witnesseth, was a man of great diligence and wisdom among the Hebrews, who did not only gather the grave and short sentences of wise men, that had been before him, but himself also uttered some of his own, full of much understanding and wisdom. When as therefore the first Jesus died, leaving this book almost perfected, Sirach his son receiving it after him left it to his own son Jesus, who, having gotten it into his hands, compiled it all orderly into one volume, and called it Wisdom, intituling it both by his own name, his father’s name, and his grandfather’s; alluring the hearer by the very name of Wisdom to have a greater love to the study of this book. It containeth therefore wise sayings, dark sentences, and parables, and certain particular ancient godly stories of men that pleased God; also his prayer and 	e	<a href='SIR.xhtml#SR51_13'>ch. 51. 13–30</a>.
Sirach Prologue	2	1	8	The Prologue of the Wisdom of 	*	<a href='SIR.xhtml#SR50_27'>ch. 50. 27</a>.
Sirach Prologue	2	1	9	The Prologue of the Wisdom of Jesus, the Son of Sirach. Whereas many and great things have been delivered unto us by 	a	<a href='LUK.xhtml#LK24_44'>Luke 24. 44</a>.
Sirach Prologue	2	1	10	The Prologue of the Wisdom of Jesus, the Son of Sirach. Whereas many and great things have been delivered unto us by the law and the prophets, and by others that have followed their steps, for the which things Israel ought to be commended for learning and wisdom; and whereof not only the readers must needs become skilful themselves, but also they that desire to learn be able to profit them which are 	*	Or, <span class='add'>of another nation</span>.
Sirach Prologue	2	1	11	The Prologue of the Wisdom of Jesus, the Son of Sirach. Whereas many and great things have been delivered unto us by the law and the prophets, and by others that have followed their steps, for the which things Israel ought to be commended for learning and wisdom; and whereof not only the readers must needs become skilful themselves, but also they that desire to learn be able to profit them which are without, both by speaking and writing: my grandfather Jesus, when he had much given himself to the reading of 	a	<a href='LUK.xhtml#LK24_44'>Luke 24. 44</a>.
Sirach Prologue	2	1	12	The Prologue of the Wisdom of Jesus, the Son of Sirach. Whereas many and great things have been delivered unto us by the law and the prophets, and by others that have followed their steps, for the which things Israel ought to be commended for learning and wisdom; and whereof not only the readers must needs become skilful themselves, but also they that desire to learn be able to profit them which are without, both by speaking and writing: my grandfather Jesus, when he had much given himself to the reading of the law, and the prophets, and other books of our fathers, and had gotten therein good judgment, was drawn on also himself to write something pertaining to learning and wisdom; to the intent that those which are desirous to learn, and are addicted to these things, might profit much more in living according to the law. Wherefore let me intreat you to read it with favour and attention, and to pardon us, wherein we may seem to come short of some words, which we have laboured to interpret. For the same things uttered in 	b	See <a href='ACT.xhtml#AC21_40'>Acts 21. 40</a>.
Sirach Prologue	2	1	13	The Prologue of the Wisdom of Jesus, the Son of Sirach. Whereas many and great things have been delivered unto us by the law and the prophets, and by others that have followed their steps, for the which things Israel ought to be commended for learning and wisdom; and whereof not only the readers must needs become skilful themselves, but also they that desire to learn be able to profit them which are without, both by speaking and writing: my grandfather Jesus, when he had much given himself to the reading of the law, and the prophets, and other books of our fathers, and had gotten therein good judgment, was drawn on also himself to write something pertaining to learning and wisdom; to the intent that those which are desirous to learn, and are addicted to these things, might profit much more in living according to the law. Wherefore let me intreat you to read it with favour and attention, and to pardon us, wherein we may seem to come short of some words, which we have laboured to interpret. For the same things uttered in Hebrew, and translated into another tongue, have not the same force in them: and not only these things, but 	a	<a href='LUK.xhtml#LK24_44'>Luke 24. 44</a>.
